case,resolution,time,z_cm,min_gap,max_penetration,active_contact_count,normal_force,contact_energy,sdf_replay_min_gap,sdf_replay_normal_force,newton_iterations,newton_residual_norm,linearity,element_type,wall_time_seconds
block_block_c3d8,4,0.0,0.385,0.014999999999999951,0.0,0,0.0,0.0,0.014999999999999951,0.0,2,1.9812207719730323e-14,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.02,0.38470049261083733,0.014700492610837269,0.0,0,0.0,0.0,0.014700492610837269,0.0,2,4.1714429080246166e-14,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.04,0.38440195588342313,0.014401955883422878,0.0,0,0.0,0.0,0.014401955883422878,0.0,2,5.680741405774083e-14,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.06,0.3841043611282475,0.014104361128246524,0.0,0,0.0,0.0,0.014104361128246524,0.0,2,9.243927096330742e-14,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.08,0.38380768050376657,0.013807680503763908,0.0,0,0.0,0.0,0.013807680503763908,0.0,2,1.1440137962542577e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.1,0.38351188699133887,0.013511886991333474,0.0,0,0.0,0.0,0.013511886991333474,0.0,2,1.1390438449375982e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.12,0.38321695437090314,0.013216954370894096,0.0,0,0.0,0.0,0.013216954370894096,0.0,2,1.6949667599365673e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.14,0.3829228571973757,0.012922857197361403,0.0,0,0.0,0.0,0.012922857197361403,0.0,2,1.979699825620262e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.16,0.3826295707777444,0.012629570777723637,0.0,0,0.0,0.0,0.012629570777723637,0.0,2,1.9562911580981662e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.18,0.38233707114884014,0.012337071148812549,0.0,0,0.0,0.0,0.012337071148812549,0.0,2,2.024114677390927e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.2,0.38204533505576466,0.012045335055729748,0.0,0,0.0,0.0,0.012045335055729748,0.0,2,2.3578324249640544e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.22,0.38175433993095714,0.011754339930914352,0.0,0,0.0,0.0,0.011754339930914352,0.0,2,2.2102624673455196e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.24,0.3814640638738779,0.01146406387382659,0.0,0,0.0,0.0,0.01146406387382659,0.0,2,2.275757776826377e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.26,0.38117448563129297,0.011174485631232127,0.0,0,0.0,0.0,0.011174485631232127,0.0,2,3.514774340957281e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.28,0.3808855845781411,0.010885584578070765,0.0,0,0.0,0.0,0.010885584578070765,0.0,2,3.1256486820619793e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.3,0.38059734069897,0.01059734069889056,0.0,0,0.0,0.0,0.01059734069889056,0.0,2,3.443499245720659e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.32,0.38030973456991995,0.010309734569830704,0.0,0,0.0,0.0,0.010309734569830704,0.0,2,4.5100844595983196e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.34,0.38002274734123553,0.010022747341130617,0.0,0,0.0,0.0,0.010022747341130617,0.0,2,3.475047064928583e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.36,0.37973636072029393,0.009736360720169169,0.0,0,0.0,0.0,0.009736360720169169,0.0,2,3.711806804929906e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.38,0.3794505569551426,0.00945055695499391,0.0,0,0.0,0.0,0.00945055695499391,0.0,2,3.648416814223239e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.4,0.379165318818518,0.009165318818343225,0.0,0,0.0,0.0,0.009165318818343225,0.0,2,5.128874602882987e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.42,0.3788806295923347,0.00888062959213276,0.0,0,0.0,0.0,0.00888062959213276,0.0,2,4.68536679166822e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.44,0.37859647305263583,0.0085964730524054,0.0,0,0.0,0.0,0.0085964730524054,0.0,2,4.952372786867698e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.46,0.37831283345499234,0.008312833454730557,0.0,0,0.0,0.0,0.008312833454730557,0.0,2,4.327227931446527e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.48,0.3780296955203305,0.008029695520032683,0.0,0,0.0,0.0,0.008029695520032683,0.0,2,5.284295705091315e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.5,0.37774704442117685,0.0077470444208376545,0.0,0,0.0,0.0,0.0077470444208376545,0.0,2,4.619678614612879e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.52,0.37746486576830546,0.0074648657679164815,0.0,0,0.0,0.0,0.0074648657679164815,0.0,2,5.152544181307597e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.54,0.3771831455977846,0.007183145597337809,0.0,0,0.0,0.0,0.007183145597337809,0.0,2,5.864324380512221e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.56,0.37690187035841005,0.006901870357903319,0.0,0,0.0,0.0,0.006901870357903319,0.0,2,6.417315185181974e-13,linear_damped,C3D8,35.59371939999983
