stage,iteration,closure_mm,shift_x_mm,min_gap_mm,max_penetration_mm,active_samples,normal_force,correction_norm,field_update_seconds,quadrature_points,quick,element_type,lower_mesh,wall_time_seconds
normal_loading,1,0.105,0.0,-0.040000000000002416,0.040000000000002416,672,3645.000000000068,1.54498412207922,0.25128760002553463,672,false,C3D8,24x12x4,5.6856341999955475
normal_loading,2,0.105,0.0,-0.01125553348377624,0.01125553348377624,4,3.1513095924033943,1.0038520124573367,0.23776170006021857,672,false,C3D8,24x12x4,5.6856341999955475
normal_loading,3,0.105,0.0,-0.029353548936764604,0.029353548936764604,244,302.6044652838789,0.28501945695563385,0.24223789991810918,672,false,C3D8,24x12x4,5.6856341999955475
normal_loading,4,0.105,0.0,-0.02585735230522069,0.02585735230522069,672,1707.406143346967,0.5534845382620771,0.2288942001760006,672,false,C3D8,24x12x4,5.6856341999955475
normal_loading,5,0.105,0.0,-0.02199536050511304,0.02199536050511304,52,42.63145570512337,0.5238375082838266,0.22937690000981092,672,false,C3D8,24x12x4,5.6856341999955475
normal_loading,6,0.105,0.0,-0.02892234602499437,0.02892234602499437,672,1545.8014065518964,0.4284869289637497,0.22271250002086163,672,false,C3D8,24x12x4,5.6856341999955475
shifted_frictionless,1,0.105,2.0,-0.04000000000000235,0.04000000000000235,672,3645.0000000000678,1.543932235311561,0.2327132998034358,672,false,C3D8,24x12x4,5.6856341999955475
shifted_frictionless,2,0.105,2.0,-0.007937207391096508,0.007937207391096508,2,1.5835540131256425,1.0033526359864504,0.22011470003053546,672,false,C3D8,24x12x4,5.6856341999955475
shifted_frictionless,3,0.105,2.0,-0.028274522723789122,0.028274522723789122,263,297.32581914869655,0.28625966993565377,0.22753220004960895,672,false,C3D8,24x12x4,5.6856341999955475
shifted_frictionless,4,0.105,2.0,-0.025823052752096426,0.025823052752096426,672,1708.1315503155968,0.559628720291553,0.23194009996950626,672,false,C3D8,24x12x4,5.6856341999955475
shifted_frictionless,5,0.105,2.0,-0.02180693168170014,0.02180693168170014,46,38.149492815127,0.5276916532441441,0.23915260005742311,672,false,C3D8,24x12x4,5.6856341999955475
shifted_frictionless,6,0.105,2.0,-0.029211814765828514,0.029211814765828514,672,1541.3315512842435,0.427378407135652,0.23260740004479885,672,false,C3D8,24x12x4,5.6856341999955475
