case,indentation,initial_gap,slave_sample_count,active_contact_count,min_gap,max_penetration,upper_normal_force_z,lower_normal_force_z,contact_energy,action_reaction_imbalance,max_von_mises_lower,max_von_mises_upper,status,details
deformable_deformable_block_contact_action_reaction,0.0,0.035,36,0,0.03500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,prescribed approach between two linear elastic blocks; lower bottom and upper top fixed for stress solves
deformable_deformable_block_contact_action_reaction,0.025,0.035,36,0,0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,prescribed approach between two linear elastic blocks; lower bottom and upper top fixed for stress solves
deformable_deformable_block_contact_action_reaction,0.04,0.035,36,36,-0.004999999999999977,0.004999999999999977,10799.99999999994,-10799.99999999994,26.999999999999748,0.0,42440.54937029096,42440.549370290966,ok,prescribed approach between two linear elastic blocks; lower bottom and upper top fixed for stress solves
deformable_deformable_block_contact_action_reaction,0.055,0.035,36,36,-0.019999999999999962,0.019999999999999962,43199.99999999992,-43199.99999999992,431.99999999999835,0.0,169762.1974811644,169762.19748116433,ok,prescribed approach between two linear elastic blocks; lower bottom and upper top fixed for stress solves
deformable_deformable_block_contact_action_reaction,0.07,0.035,36,36,-0.034999999999999976,0.034999999999999976,75599.99999999999,-75599.99999999999,1322.9999999999984,0.0,297083.845592038,297083.845592038,ok,prescribed approach between two linear elastic blocks; lower bottom and upper top fixed for stress solves
