case,indentation,slave_sample_count,active_contact_count,min_gap,max_penetration,normal_force_z,contact_energy,action_reaction_imbalance,mean_top_displacement_z,max_von_mises,status,details
rigid_flat_indenter_pressing_elastic_block,0.0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,prescribed flat rigid indenter underside; block bottom fixed; linear static response to penalty contact force
rigid_flat_indenter_pressing_elastic_block,0.006,16,16,-0.006000000000000005,0.006000000000000005,-7199.999999999996,21.599999999999987,1.8189894035458565e-12,-0.02880283871437895,9928.909808088942,ok,prescribed flat rigid indenter underside; block bottom fixed; linear static response to penalty contact force
rigid_flat_indenter_pressing_elastic_block,0.012,16,16,-0.01200000000000001,0.01200000000000001,-14400.000000000007,86.40000000000015,9.094947017729282e-12,-0.05760567742875796,19857.81961617788,ok,prescribed flat rigid indenter underside; block bottom fixed; linear static response to penalty contact force
rigid_flat_indenter_pressing_elastic_block,0.018,16,16,-0.018000000000000016,0.018000000000000016,-21600.00000000002,194.40000000000035,0.0,-0.08640851614313695,29786.72942426681,ok,prescribed flat rigid indenter underside; block bottom fixed; linear static response to penalty contact force
rigid_flat_indenter_pressing_elastic_block,0.024,16,16,-0.024000000000000077,0.024000000000000077,-28800.000000000022,345.6000000000007,1.0913936421275139e-11,-0.11521135485751594,39715.63923235575,ok,prescribed flat rigid indenter underside; block bottom fixed; linear static response to penalty contact force
