case,body,indentation,element_id,centroid_x,centroid_y,centroid_z,von_mises,status,details
deformable_deformable_block_contact_stress_cloud,lower,0.07,37,0.5,0.30000000000000004,0.0625,32158.710300199138,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,38,0.45000000000000007,0.35,0.09375,31661.642797831628,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,39,0.55,0.25,0.09375,36431.671756677715,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,40,0.65,0.25,0.03125,32323.89363566861,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,41,0.75,0.35,0.03125,32323.89363566872,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,42,0.7,0.30000000000000004,0.0625,34452.52204088717,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,43,0.6499999999999999,0.35,0.09375,31642.79168942904,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,44,0.75,0.25,0.09375,42468.23660591816,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,45,0.8500000000000001,0.25,0.03125,38045.13289506118,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,46,0.95,0.35,0.03125,72387.85065314411,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,47,0.9,0.30000000000000004,0.0625,59703.36525761267,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,48,0.8500000000000001,0.35,0.09375,43156.54601929395,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,49,0.95,0.25,0.09375,87953.38701153269,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,50,0.05,0.44999999999999996,0.03125,73608.54981485022,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,51,0.15000000000000002,0.55,0.03125,32323.893635668668,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,52,0.1,0.5,0.0625,56756.05893709494,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,53,0.05,0.55,0.09375,76732.46833090823,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,54,0.15000000000000002,0.45000000000000007,0.09375,43966.83951103038,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,55,0.25,0.44999999999999996,0.03125,32961.42015420442,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,56,0.35,0.55,0.03125,27371.010641376168,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,57,0.30000000000000004,0.5,0.0625,32158.710300199124,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,58,0.25,0.55,0.09375,36431.67175667776,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,59,0.35,0.45000000000000007,0.09375,31661.64279783163,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,60,0.44999999999999996,0.44999999999999996,0.03125,27406.43214601317,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,61,0.55,0.55,0.03125,27406.432146013187,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,62,0.5,0.5,0.0625,29453.869184379382,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,63,0.45000000000000007,0.55,0.09375,31792.490551720388,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,64,0.55,0.45000000000000007,0.09375,31792.4905517204,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,65,0.65,0.44999999999999996,0.03125,27371.010641376175,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,66,0.75,0.55,0.03125,32961.42015420444,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,67,0.7,0.5,0.0625,32158.710300199138,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,68,0.6499999999999999,0.55,0.09375,31661.642797831653,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,69,0.75,0.45000000000000007,0.09375,36431.67175667781,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,70,0.8500000000000001,0.44999999999999996,0.03125,32323.89363566872,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,71,0.95,0.55,0.03125,73608.54981485027,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,72,0.9,0.5,0.0625,56756.058937094975,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,73,0.8500000000000001,0.55,0.09375,43966.83951103039,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,74,0.95,0.45000000000000007,0.09375,76732.4683309084,ok,element von Mises stress for two-block normal contact validation
