solver,wall_time_seconds,total_workflow_wall_seconds,fixed_dt_seconds,details,contact_path,sfc_contact_backend,time_integrator,mass_matrix,duration,dt,output_interval,output_stride
abaqus,28.097160,39.125719,1.000000000000e-06,commercial VTK reference frames loaded from validation-only output directory,,,,,,,,
sfc_lagrangian_sdf,25.501725300215185,,,,MaterialSDF+LagrangianSDFContactOracle,structured-top,explicit,lumped,0.02,1e-06,0.001,1000
