quantity,calculix_reference,sfc_dynamic_sdf_replay,absolute_error,relative_error,acceptance_threshold,status
normal_force_z,4.0,3.999999848082693,1.5191730717845076e-07,3.797932679461269e-08,1e-05,ok
contact_energy,2.00001e-05,2.000009924032692e-05,7.596730793794741e-13,3.798346405165345e-08,1e-05,ok
c3d8_displacement,1.0,1.3708796020092997,0.37087960200929965,0.37087960200929965,nan,diagnostic
c3d8_von_mises,1.0,1.0018828589182671,0.0018828589182671497,0.0018828589182671497,nan,diagnostic
