plot,png,pdf,description
official_calculix_example_classification,figures\official_calculix_example_classification.png,figures\official_calculix_example_classification.pdf,Direct/law/candidate classification for selected official CalculiX contact examples
official_calculix_example_runtime,figures\official_calculix_example_runtime.png,figures\official_calculix_example_runtime.pdf,CalculiX smoke-run wall times where examples were executed
