case,external_solver,external_solver_version,resolution,nodes,elements,fixed_nodes,tip_displacement_z_sfc,tip_displacement_z_external,tip_displacement_rel_error,displacement_l2_rel_error,displacement_linf_abs_error,stiffness_fro_rel_error,strain_l2_rel_error,stress_l2_rel_error,von_mises_l2_rel_error,max_von_mises_sfc,max_von_mises_external,max_von_mises_abs_error,status,details
cantilever_external_open_source_fem,scikit-fem,12.0.1,1,8,5,4,-0.001397105003558689,-0.0013971050035586664,1.61415248891502e-14,1.7333615327108936e-14,2.2768245622195593e-17,3.6264907631531867e-16,1.6874476816906823e-14,1.7300923058296206e-14,1.6434584429305177e-14,97.96706610173412,97.96706610173244,1.6768808563938364e-12,ok,same mesh/material/Dirichlet boundary/point load compared against scikit-fem
cantilever_external_open_source_fem,scikit-fem,12.0.1,2,27,40,9,-0.0036867691211340784,-0.0036867691211339127,4.493530419524409e-14,5.060386271672421e-14,1.691355389077387e-16,5.197129816961914e-16,5.72587189423158e-14,5.730537380342302e-14,4.7722536560650086e-14,183.5477011021816,183.54770110217754,4.064304448547773e-12,ok,same mesh/material/Dirichlet boundary/point load compared against scikit-fem
cantilever_external_open_source_fem,scikit-fem,12.0.1,3,64,135,16,-0.0066174822132387566,-0.006617482213239432,1.0210451227827414e-13,1.0954866760776163e-13,7.155734338404329e-16,2.7138188224640404e-16,1.2709007193254606e-13,1.2768448450825025e-13,1.1851863669492981e-13,255.748512146618,255.74851214665696,3.8966163629083894e-11,ok,same mesh/material/Dirichlet boundary/point load compared against scikit-fem
cantilever_external_open_source_fem,scikit-fem,12.0.1,4,125,320,25,-0.0095612980174311,-0.009561298017423458,7.992070634920996e-13,8.203660706987664e-13,7.745540320236444e-15,6.519881706486751e-16,8.381590860079894e-13,8.507136039642287e-13,7.996485535331023e-13,314.4287033861493,314.4287033859085,2.4084556571324356e-10,ok,same mesh/material/Dirichlet boundary/point load compared against scikit-fem
