case,external_solver,resolution,element_id,centroid_x,centroid_y,centroid_z,von_mises_sfc,von_mises_external,von_mises_abs_error,status,details
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,25,0.625,0.025,0.125,90.70153312064431,90.70153312064024,4.078515303262975e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,26,0.875,0.07500000000000001,0.125,8.043697406141439,8.04369740614154,1.0125233984581428e-13,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,27,0.75,0.05,0.15000000000000002,43.459023633547815,43.45902363354417,3.645084234449314e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,28,0.625,0.07500000000000001,0.175,96.67475973185637,96.67475973185192,4.447997525858227e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,29,0.875,0.025,0.175,22.722935850188634,22.72293585018532,3.3146818623208674e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,30,0.125,0.125,0.125,172.94425634570882,172.94425634570433,4.490630090003833e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,31,0.375,0.175,0.125,73.75548299483717,73.75548299483121,5.9543481256696396e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,32,0.25,0.15000000000000002,0.15000000000000002,92.30903028829965,92.30903028829259,7.062794793455396e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,33,0.125,0.175,0.175,183.54770110218155,183.54770110217754,4.007461029686965e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,34,0.375,0.125,0.175,100.225161378212,100.22516137820557,6.423306331271306e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
