case,resolution,elements,max_strain_l2_error,rms_strain_l2_error,max_stress_l2_error,rms_stress_l2_error,reference,status,details
analytic_uniaxial_stress_strain_patch,1,5,0.0,0.0,0.0,0.0,analytic_affine_small_strain,ok,"analytic_strain=[0.001, 0.0, 0.0, 0.0, 0.0, 0.0]; analytic_stress=[240.0, 80.0, 80.0, 0.0, 0.0, 0.0]"
analytic_uniaxial_stress_strain_patch,2,40,0.0,0.0,0.0,0.0,analytic_affine_small_strain,ok,"analytic_strain=[0.001, 0.0, 0.0, 0.0, 0.0, 0.0]; analytic_stress=[240.0, 80.0, 80.0, 0.0, 0.0, 0.0]"
analytic_uniaxial_stress_strain_patch,3,135,0.0,0.0,0.0,0.0,analytic_affine_small_strain,ok,"analytic_strain=[0.001, 0.0, 0.0, 0.0, 0.0, 0.0]; analytic_stress=[240.0, 80.0, 80.0, 0.0, 0.0, 0.0]"
analytic_uniaxial_stress_strain_patch,4,320,0.0,0.0,0.0,0.0,analytic_affine_small_strain,ok,"analytic_strain=[0.001, 0.0, 0.0, 0.0, 0.0, 0.0]; analytic_stress=[240.0, 80.0, 80.0, 0.0, 0.0, 0.0]"
