backend_label,problem,quick,closure_steps,sfc_backend,batch_projection_threshold,sfc_total_wall_seconds,sfc_field_update_total_seconds,sfc_query_total_seconds,sfc_linear_solve_total_seconds,sfc_other_total_seconds,sfc_contact_evaluations,endpoint_displacement_l2_norm,endpoint_max_von_mises,endpoint_max_strain_norm,endpoint_min_gap,endpoint_active_samples,endpoint_quadrature_points,raw_run_dir,endpoint_displacement_norm_rel_diff,endpoint_von_mises_rel_diff,endpoint_strain_norm_rel_diff,endpoint_min_gap_abs_diff
node_to_surface,problem_1,true_reduced_mesh_11_steps,11,node_to_surface,5000000,2.9002280002459884,0.8526328993029892,1.834925301373005,0.0453011984936893,0.1673686010763049,41,0.007972276555579328,402.7835952628258,0.00839966923093873,-0.022646576082739636,26,104,paper\numerical_experiments\native_contact_backend_ablation_11\runs\node_to_surface,0.0008679244170569616,0.0023935366822112284,0.0024684044346120156,0.002862967522119883
surface_to_surface_reference,problem_1,true_reduced_mesh_11_steps,11,surface_to_surface,5000000,17.30897690122947,1.3001630008220673,14.581342401914299,0.042676500510424376,1.3847949979826808,44,0.007979201899736737,403.74998566395476,0.008420454317718033,-0.02550954360485952,172,728,paper\numerical_experiments\native_contact_backend_ablation_11\runs\surface_to_surface_reference,0.0,0.0,0.0,0.0
surface_to_surface_vectorized,problem_1,true_reduced_mesh_11_steps,11,surface_to_surface_vectorized,5000000,1.3422389007173479,1.2028410001657903,0.06078520091250539,0.05237889988347888,0.026233799755573273,44,0.00797920189973674,403.749985663955,0.008420454317718035,-0.02550954360485952,172,728,paper\numerical_experiments\native_contact_backend_ablation_11\runs\surface_to_surface_vectorized,4.3481127505597824e-16,5.631546340969471e-16,2.0601304995226458e-16,0.0
surface_to_surface_vectorized_grouped_projection,problem_1,true_reduced_mesh_11_steps,11,surface_to_surface_vectorized,1,23.512945000082254,23.086836299858987,0.06823160126805305,0.0462245000526309,0.3116525989025831,44,0.00797920189973674,403.749985663955,0.008420454317718035,-0.02550954360485952,172,728,paper\numerical_experiments\native_contact_backend_ablation_11\runs\surface_to_surface_vectorized_grouped_projection,4.3481127505597824e-16,5.631546340969471e-16,2.0601304995226458e-16,0.0
