case_id,contact_index,query_kind,slave_node,slave_element,slave_face,x,y,z,sfc_gap,calculix_cdis,gap_abs_error,normal_x,normal_y,normal_z,closest_face_id,pressure_law,pressure_values,sfc_pressure,calculix_cstr,pressure_rel_error,area_weight,sfc_force_x,sfc_force_y,sfc_force_z,sfc_energy,calculix_cels,energy_note
contactenergy_c3d8_surface_linear,0,slave_face_centroid,,2,3,0.5,0.5,0.99997095233,-1.0000049999847604e-05,-1.000005e-05,1.523947797382047e-16,-1.665326210332062e-11,-0.0,1.0,1,LINEAR,10000000.0,100.00049999847604,100.0005,1.5239502290524023e-11,0.03999979848200001,-6.66130458826242e-11,-0.0,3.9999998480382843,2.0000099239882833e-05,1.125006e-06,area_weighted_sfc_density; node-to-surface CalculiX spring area may differ
contact1_c3d8_node_exponential,0,slave_node,10,,,0.641421,0.5,0.999997012584,-4.748199999848879e-08,-4.748198e-08,1.999848878710096e-14,-0.0,-1.1690988423618335e-09,1.0,1,EXPONENTIAL,1.5351e-07;6.66666,27.702947963858815,27.70293,6.484461685631127e-07,1.0,-0.0,-3.2387484394557456e-08,27.702947963858815,7.012293650205433e-07,2.77039e-08,area_weighted_sfc_density; node-to-surface CalculiX spring area may differ
contact3_c3d8_node_linear,0,slave_node,10,,,0.641421,0.5,0.99997221,-1.3640039999929243e-05,-1.363593e-05,4.109999929243475e-09,-0.0,-4.069720560316963e-12,1.0,1,LINEAR,10000000.0;3.0,133.40039999929243,133.3641,0.00027218718749966777,1.0,-0.0,-5.429023506316273e-10,133.40039999929243,0.0009097933959984548,2.727186e-05,area_weighted_sfc_density; node-to-surface CalculiX spring area may differ
contact6_c3d8_node_stiff_linear,0,slave_node,10,,,0.641421,0.5,0.99998571368,-1.3635999995820214e-07,-1.363593e-07,6.999582021250431e-13,-0.0,-4.0709263162418177e-10,1.0,1,LINEAR,1000000000.0;3.0,133.35999995820214,133.3641,3.074321948612393e-05,1.0,-0.0,-5.428987333638528e-08,133.35999995820214,9.09248479436314e-06,2.727186e-07,area_weighted_sfc_density; node-to-surface CalculiX spring area may differ
