problem,step,closure_mm,sfc_displacement_l2_norm,sfc_max_von_mises_MPa,sfc_max_strain_norm,sfc_max_correction_norm,sfc_step_wall_seconds,sfc_contact_evaluations,sfc_field_update_total_seconds,sfc_query_total_seconds,sfc_linear_solve_total_seconds,sfc_other_total_seconds,sfc_field_update_seconds,sfc_query_seconds,sfc_contact_backend,sfc_quadrature_order,sfc_sdf_spacing_scale,sfc_relaxation,sfc_max_iterations,sfc_batch_projection_threshold,sfc_projection_mode,sfc_quadrature_points,sfc_active_samples,sfc_min_gap_mm,sfc_max_penetration_mm
problem_1,1,0.0015728571428571426,2.3593553553940823e-05,1.8367474689986076,3.918909031300813e-05,2.0532792749736486e-06,0.55426080012694,4,0.5117465001530945,0.012662500143051147,0.0218830993399024,0.007968700490891933,0.1259624003432691,0.0031403000466525555,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,16,-0.0011385097684889316,0.0011385097684889316
problem_1,2,0.003145714285714285,0.0001560090408318853,11.917044797756526,0.0002541988831114623,9.31571665696538e-06,0.5651463000103831,4,0.5201355004683137,0.013932199217379093,0.023872401099652052,0.00720619922503829,0.13252850016579032,0.0037368997000157833,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,54,-0.002624742568469219,0.002624742568469219
problem_1,3,0.004718571428571428,0.00041682813345733356,31.32873940442978,0.0006681213939036839,1.6098223487828535e-05,0.6062360000796616,4,0.5578716997988522,0.015534500125795603,0.024160300381481647,0.008669499773532152,0.14870470017194748,0.0036606001667678356,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,80,-0.0040262311729300174,0.0040262311729300174
problem_1,4,0.00629142857142857,0.0007560938889806698,56.23683071094737,0.0011991537865616783,1.7751273800946545e-05,0.5257080001756549,4,0.48619019938632846,0.012365000322461128,0.02036909945309162,0.00678370101377368,0.1181203001178801,0.0027471003122627735,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,106,-0.0053752630280855355,0.0053752630280855355
problem_1,5,0.007864285714285713,0.0011870553659283716,87.25879433269021,0.0018603393754472943,1.9008145008530572e-05,0.541951899882406,4,0.4995133001357317,0.01384060038253665,0.021634199656546116,0.006963799707591534,0.12985459994524717,0.0032421001233160496,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,134,-0.0066663667012252835,0.0066663667012252835
problem_1,6,0.009437142857142856,0.0017064742546025493,124.10066695681397,0.002645405359201361,1.9098556163424026e-05,0.5316491001285613,4,0.4911758000962436,0.01227810001000762,0.021220399532467127,0.006974800489842892,0.1178566999733448,0.002893599681556225,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,164,-0.007901825471381282,0.007901825471381282
problem_1,7,0.011009999999999999,0.0022843527442757247,164.6485017331442,0.0035093009287895326,1.7694563717944e-05,0.511398000176996,4,0.4718970996327698,0.014002500101923943,0.019805700052529573,0.005692700389772654,0.11823219992220402,0.0034431000240147114,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,192,-0.009101010641962837,0.009101010641962837
problem_1,8,0.01258285714285714,0.0029512371392626606,210.56550971803475,0.004487300789968804,1.654181532643111e-05,0.5122210001572967,4,0.4738902999088168,0.012433699797838926,0.019906300585716963,0.005990699864923954,0.11855639982968569,0.0036697997711598873,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,224,-0.010246966107171102,0.010246966107171102
problem_1,9,0.014155714285714284,0.0036688054200977,259.5076007114671,0.005529573648102682,1.6524922981961198e-05,0.527536400128156,4,0.48383859964087605,0.014385400339961052,0.02184499939903617,0.007467400748282671,0.12003939971327782,0.0036156000569462776,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,240,-0.011363245512823701,0.011363245512823701
problem_1,10,0.015728571428571425,0.00443798258559535,311.43568789192364,0.006635248701584014,1.369047503072843e-05,0.5217568995431066,4,0.4804612994194031,0.012907399330288172,0.020985799841582775,0.007402400951832533,0.12194829992949963,0.003239699639379978,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,270,-0.012448487599504031,0.012448487599504031
problem_1,11,0.01730142857142857,0.005266575776194825,366.68347092956805,0.0078113520875922006,1.2455078902905355e-05,0.5183017998933792,4,0.47620270075276494,0.014797800220549107,0.02050499990582466,0.006796299014240503,0.12168800039216876,0.0036995001137256622,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,298,-0.013500023223541179,0.013500023223541179
problem_1,12,0.01887428571428571,0.0061426674650867106,424.41977975388056,0.009040154349747314,1.1376156850617573e-05,0.5105554000474513,4,0.4701512004248798,0.01317040016874671,0.020398400258272886,0.006835399195551872,0.12075809994712472,0.0032146000303328037,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,316,-0.01452497386128964,0.01452497386128964
problem_1,13,0.020447142857142855,0.007075296587860452,485.31308867417704,0.010335932798245765,9.347790426372977e-06,0.5135053000412881,4,0.4714298998005688,0.014518900774419308,0.020480399951338768,0.007076099514961243,0.11363449972122908,0.0035911002196371555,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,348,-0.015517274735269617,0.015517274735269617
problem_1,14,0.02202,0.008046372232612743,548.1918951263712,0.011673732942167211,8.757254490284587e-06,0.5299864998087287,4,0.4891884997487068,0.012522200122475624,0.021302599925547838,0.006973200011998415,0.12315310025587678,0.003105300012975931,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,356,-0.016488816143351338,0.016488816143351338
problem_1,15,0.023592857142857138,0.009069632416762048,613.4920539298041,0.01306264588131142,6.918155591959435e-06,0.5199163001962006,4,0.47670260071754456,0.01512170024216175,0.020725700072944164,0.0073662991635501385,0.11611529998481274,0.003629700280725956,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,394,-0.017432229486852018,0.017432229486852018
problem_1,16,0.02516571428571428,0.010152344635494252,681.6198990676725,0.014511295360465384,6.631296812481742e-06,0.5142493001185358,4,0.4730429002083838,0.01322179939597845,0.021101499907672405,0.0068831006065011024,0.12151619978249073,0.003384099807590246,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,418,-0.018344345550552196,0.018344345550552196
problem_1,17,0.026738571428571428,0.01127236232430167,751.4112302310261,0.015994971663955464,6.167517974085628e-06,0.526749299839139,4,0.484918599948287,0.013174100313335657,0.021203099749982357,0.00745349982753396,0.11789589980617166,0.0032779001630842686,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,442,-0.019237004931453125,0.019237004931453125
problem_1,18,0.02831142857142857,0.0124279984803146,822.9104319736695,0.017514694441127753,5.375428477944624e-06,0.5213746996596456,4,0.47985719982534647,0.013121099676936865,0.02109309984371066,0.007303300313651562,0.12032049987465143,0.003237999975681305,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,470,-0.020110654438737666,0.020110654438737666
problem_1,19,0.029884285714285707,0.013620068286988866,896.095095405616,0.01906995908145468,5.191246904556935e-06,0.49767550034448504,4,0.45894020004197955,0.012947899289429188,0.019772300496697426,0.0060151005163788795,0.11399510037153959,0.0033116997219622135,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,486,-0.02096549316252946,0.02096549316252946
problem_1,20,0.03145714285714285,0.01485168565244639,970.8775923822946,0.020658769379393392,4.9193379291848365e-06,0.5399960000067949,4,0.4967174003832042,0.0142967002466321,0.021088600158691406,0.007893299218267202,0.12515930039808154,0.0033495998941361904,surface_to_surface_vectorized,7,0.25,0.55,4,5000000,all_faces_batch,2184,516,-0.02180055784438129,0.02180055784438129
